SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540701,DCAL        ,A ,Q,247.20,249.60,243.35,244.50,244.80,248.20,127,2182,536994.00,
540702,LASA        ,B ,Q,16.50,17.35,14.65,15.50,15.50,16.20,85,12744,201338.00,
540704,MATRIMONY   ,B ,Q,618.80,622.30,618.80,620.00,620.00,622.50,5,9,5579.00,
540709,RELHOME     ,B ,Q,16.00,17.05,14.70,14.95,15.05,17.05,502,114475,1763575.00,
540710,CAPACITE    ,B ,Q,267.20,270.65,263.00,269.45,269.50,268.45,122,1222,326799.00,
540715,SAGAR       ,M ,Q,8.80,8.80,8.80,8.80,8.80,8.80,1,3000,26400.00,
540716,ICICIGI     ,A ,Q,1125.00,1169.75,1101.00,1149.25,1149.25,1124.55,2182,50614,57015227.00,
540719,SBILIFE     ,A ,Q,699.95,707.75,692.20,694.45,692.20,697.80,1034,53343,37172473.00,
540724,DIAMONDYD   ,B ,Q,894.05,902.00,894.00,900.20,902.00,893.60,13,52,46693.00,
540725,SISL        ,M ,Q,80.00,81.95,79.50,81.95,81.95,81.35,4,7000,559950.00,
540726,TTFL        ,M ,Q,95.50,105.00,95.00,105.00,105.00,97.20,3,3000,295500.00,
540728,SAYAJIIND   ,X ,Q,209.95,209.95,201.10,201.25,201.25,207.50,11,205,41898.00,
540729,VANTABIO    ,M ,Q,161.50,162.00,159.00,160.35,162.00,163.20,8,6000,965625.00,
540730,MEHAI       ,M ,Q,68.05,74.50,68.00,74.50,74.50,85.00,10,19500,1336575.00,
540735,IRIS        ,M ,Q,20.00,20.00,20.00,20.00,20.00,18.90,1,4000,80000.00,
540736,SIDDH       ,M ,Q,28.95,28.95,27.35,27.35,27.35,30.35,20,444000,12379200.00,
540737,SGRL        ,M ,Q,66.00,66.00,66.00,66.00,66.00,71.45,1,3000,198000.00,
540743,GODREJAGRO  ,A ,Q,500.15,502.35,496.75,500.55,502.35,501.75,229,3226,1609672.00,
540744,MESCON      ,XT,Q,10.80,11.50,10.61,10.88,11.50,11.05,15,743,8123.00,
540749,MASFIN      ,B ,Q,616.75,620.00,607.05,615.05,612.90,627.50,82,327,200916.00,
540750,IEX         ,A ,Q,149.85,149.95,145.80,147.55,147.55,149.10,584,16160,2377901.00,
540755,GICRE       ,A ,Q,217.50,218.10,215.30,215.85,216.00,219.20,106,1845,399711.00,
540757,SCPL        ,M ,Q,130.00,130.00,127.00,127.00,127.00,132.25,2,4000,517600.00,
540762,TIINDIA     ,A ,Q,389.95,396.90,389.95,395.70,396.10,394.75,56,685,269679.00,
540767,RNAM        ,A ,Q,215.20,217.05,215.20,215.75,215.75,217.70,457,64312,13912013.00,
540768,MAHLOG      ,A ,Q,498.60,507.70,495.00,502.95,507.70,495.95,120,1955,980496.00,
540769,NIACL       ,A ,Q,158.55,160.00,152.00,154.15,154.00,158.45,268,5233,808453.00,
540774,IFGLEXPOR   ,B ,Q,202.00,207.90,197.00,204.35,207.90,203.95,20,192,38721.00,
540775,KHADIM      ,B ,Q,313.00,319.85,303.60,310.45,310.45,322.75,65,458,141826.00,
540776,5PAISA      ,B ,Q,212.00,212.00,212.00,212.00,212.00,214.15,1,50,10600.00,
540777,HDFCLIFE    ,A ,Q,443.50,453.50,440.55,451.65,451.65,441.65,2716,184454,82269019.00,
540782,SBRANDS     ,M ,Q,31.50,31.50,30.00,30.00,30.00,32.50,2,2000,61500.00,
540786,SHARIKA     ,M ,Q,37.40,37.50,37.40,37.50,37.50,37.20,6,30000,1122300.00,
540787,ICICIB22    ,B ,Q,38.30,38.98,38.30,38.59,38.59,38.52,147,31547,1215751.00,
